TrialNumber,prime_pos_1,prime_pos_2,prime_pos_3,prime_pos_4,prime_col_1,prime_col_2,prime_col_3,prime_col_4,prime_angle_1,prime_angle_2,prime_angle_3,prime_angle_4,curr_task,sequence,target_angle_colour,target_angle_orientation,condition,subject,block_type,ran,order,response,rt
1,135,45,315,225,245.5,318.6,44.2,186.9,344.5,271.6,110.30000000000001,25.900000000000002,colour,switch,245.0,344.0,experiment_1,012,mixed,1.0,0.0,247.0,2.081042
2,45,315,135,225,183.5,97.10000000000001,16.6,302.90000000000003,111.7,270.5,57.300000000000004,208.3,orientation,switch,183.0,111.0,experiment_1,012,mixed,1.0,1.0,86.71075732150818,2.7263184
3,135,315,45,225,275.2,203.3,159.9,90.2,49.7,266.5,345.5,145.20000000000002,orientation,repetition,275.0,49.0,experiment_1,012,mixed,1.0,2.0,44.747597317710856,3.2413723
4,225,45,135,315,60.300000000000004,107.5,198.4,294.3,305.8,88.5,187.0,12.200000000000001,orientation,repetition,60.0,305.0,experiment_1,012,mixed,1.0,3.0,291.35283959470837,4.264003
5,225,315,135,45,171.9,355.6,315.5,114.30000000000001,56.1,357.1,133.8,256.90000000000003,orientation,repetition,171.0,56.0,experiment_1,012,mixed,1.0,4.0,67.96377305985456,3.5178812
6,225,135,315,45,310.1,119.9,211.20000000000002,38.800000000000004,218.0,100.10000000000001,35.0,163.70000000000002,colour,switch,310.0,218.0,experiment_1,012,mixed,1.0,5.0,309.0,2.4010377
7,315,45,225,135,248.5,352.0,158.0,66.7,286.2,102.80000000000001,51.400000000000006,203.5,orientation,switch,248.0,286.0,experiment_1,012,mixed,1.0,6.0,286.94922423382144,4.864946
8,135,315,225,45,192.8,17.1,255.0,326.0,116.9,21.900000000000002,301.1,219.3,orientation,repetition,192.0,116.0,experiment_1,012,mixed,1.0,7.0,113.98203050844293,2.3984587
9,315,45,135,225,32.5,90.0,141.6,238.70000000000002,219.60000000000002,125.2,274.7,351.8,colour,switch,32.0,219.0,experiment_1,012,mixed,1.0,8.0,83.0,1.7099833
10,135,45,315,225,295.5,34.0,92.10000000000001,341.20000000000005,86.0,216.70000000000002,164.60000000000002,12.0,colour,repetition,295.0,86.0,experiment_1,012,mixed,1.0,9.0,304.0,1.5938714
11,315,225,45,135,331.40000000000003,52.300000000000004,257.90000000000003,112.7,99.2,161.70000000000002,12.100000000000001,278.3,orientation,switch,331.0,99.0,experiment_1,012,mixed,1.0,10.0,120.10130456559969,2.3064766
12,315,225,135,45,50.2,168.10000000000002,300.40000000000003,353.3,147.70000000000002,242.3,71.5,293.7,orientation,repetition,50.0,147.0,experiment_1,012,mixed,1.0,11.0,142.50000920696505,2.5344641
13,315,225,135,45,167.3,303.8,112.10000000000001,358.8,259.1,156.20000000000002,93.7,218.70000000000002,orientation,repetition,167.0,259.0,experiment_1,012,mixed,1.0,12.0,294.051623593886,2.9768665
14,315,225,45,135,336.90000000000003,283.3,221.8,69.9,187.8,104.30000000000001,257.90000000000003,22.0,orientation,repetition,336.0,187.0,experiment_1,012,mixed,1.0,13.0,260.8583597764751,2.490196
15,315,135,45,225,337.1,111.5,161.10000000000002,286.2,343.1,97.5,286.0,208.4,colour,switch,337.0,343.0,experiment_1,012,mixed,1.0,14.0,313.0,1.7586964
16,135,45,225,315,254.0,76.4,177.8,294.3,219.70000000000002,78.10000000000001,348.5,286.8,orientation,switch,254.0,219.0,experiment_1,012,mixed,1.0,15.0,126.02737338510362,3.040607
17,45,135,315,225,77.5,345.8,129.6,182.5,153.9,334.70000000000005,283.5,233.8,orientation,repetition,77.0,153.0,experiment_1,012,mixed,1.0,16.0,133.23133365459685,3.063181
18,45,225,315,135,37.7,349.5,216.20000000000002,82.30000000000001,60.800000000000004,253.70000000000002,296.7,19.3,orientation,repetition,37.0,60.0,experiment_1,012,mixed,1.0,17.0,52.18426739242686,1.9010485
19,135,315,45,225,304.6,147.20000000000002,24.0,93.30000000000001,159.10000000000002,203.60000000000002,332.90000000000003,290.0,orientation,repetition,304.0,159.0,experiment_1,012,mixed,1.0,18.0,131.91234871501493,2.5688667
20,45,315,225,135,47.7,114.0,268.5,352.40000000000003,274.90000000000003,54.1,104.7,319.90000000000003,orientation,repetition,47.0,274.0,experiment_1,012,mixed,1.0,19.0,279.0107095468176,3.3381555
21,135,315,225,45,16.1,327.3,133.20000000000002,185.70000000000002,117.0,348.70000000000005,30.0,211.0,colour,switch,16.0,116.0,experiment_1,012,mixed,1.0,20.0,5.0,3.9806528
22,225,45,135,315,270.0,327.8,139.4,88.7,358.90000000000003,59.300000000000004,314.5,200.5,orientation,switch,270.0,358.0,experiment_1,012,mixed,1.0,21.0,218.7718780955453,2.5100567
23,225,45,135,315,209.5,136.70000000000002,64.2,15.4,148.3,196.8,264.3,99.2,orientation,repetition,209.0,148.0,experiment_1,012,mixed,1.0,22.0,90.94695144677347,3.1457953
24,45,225,135,315,282.5,27.900000000000002,81.80000000000001,131.20000000000002,151.5,217.10000000000002,338.5,33.6,colour,switch,282.0,151.0,experiment_1,012,mixed,1.0,23.0,299.0,1.6924118
25,315,135,225,45,28.200000000000003,255.3,320.0,134.9,26.3,72.2,185.8,304.0,orientation,switch,28.0,26.0,experiment_1,012,mixed,1.0,24.0,45.6958659395088,3.048965
26,45,135,315,225,157.20000000000002,37.6,318.6,206.10000000000002,55.0,200.9,10.8,314.90000000000003,colour,switch,157.0,54.0,experiment_1,012,mixed,1.0,25.0,40.0,1.9107563
27,135,225,315,45,71.7,247.0,123.2,186.9,99.2,339.0,52.1,220.8,orientation,switch,71.0,99.0,experiment_1,012,mixed,1.0,26.0,98.47114463301483,2.906693
28,315,225,135,45,211.8,290.90000000000003,123.2,1.4000000000000001,71.10000000000001,192.3,352.5,267.40000000000003,orientation,repetition,211.0,71.0,experiment_1,012,mixed,1.0,27.0,58.64840103819508,2.5346167
29,225,135,45,315,346.1,211.20000000000002,283.1,102.7,196.20000000000002,98.4,314.20000000000005,17.900000000000002,orientation,repetition,346.0,196.0,experiment_1,012,mixed,1.0,28.0,221.05481377096243,2.9291475
30,135,225,45,315,310.3,84.80000000000001,152.4,263.40000000000003,275.8,211.9,146.8,354.90000000000003,orientation,repetition,310.0,275.0,experiment_1,012,mixed,1.0,29.0,259.5792876032055,1.9643112
31,135,315,225,45,144.20000000000002,206.70000000000002,38.1,90.9,279.40000000000003,329.5,198.3,16.900000000000002,colour,switch,144.0,279.0,experiment_1,012,mixed,1.0,30.0,219.0,1.6302521
32,135,45,225,315,243.0,353.20000000000005,311.40000000000003,55.2,61.900000000000006,288.3,239.70000000000002,342.20000000000005,orientation,switch,242.0,61.0,experiment_1,012,mixed,1.0,31.0,66.5014343240479,2.9094846
33,45,315,225,135,222.4,351.1,69.10000000000001,293.1,298.3,149.9,39.1,196.4,orientation,repetition,222.0,298.0,experiment_1,012,mixed,1.0,32.0,305.2537132341803,1.5933114
34,45,225,135,315,281.5,241.4,144.6,334.90000000000003,247.3,337.6,56.5,143.3,orientation,repetition,281.0,247.0,experiment_1,012,mixed,1.0,33.0,235.355091220148,2.193909
35,45,315,135,225,222.60000000000002,40.400000000000006,333.40000000000003,286.7,196.5,289.1,351.20000000000005,48.800000000000004,orientation,repetition,222.0,196.0,experiment_1,012,mixed,1.0,34.0,220.94898908224332,2.026517
36,45,225,315,135,65.2,143.20000000000002,272.40000000000003,328.90000000000003,186.4,80.60000000000001,128.20000000000002,286.8,orientation,repetition,65.0,186.0,experiment_1,012,mixed,1.0,35.0,193.9147255599637,2.3697417
37,225,315,45,135,207.4,75.3,128.8,306.7,278.40000000000003,185.70000000000002,356.6,225.70000000000002,orientation,repetition,207.0,278.0,experiment_1,012,mixed,1.0,36.0,235.0079798014413,1.9229351
38,315,225,45,135,275.90000000000003,225.3,1.7000000000000002,102.2,334.1,287.90000000000003,211.9,96.10000000000001,orientation,repetition,275.0,334.0,experiment_1,012,mixed,1.0,37.0,306.175215790891,2.1902294
39,45,315,225,135,68.5,117.10000000000001,198.10000000000002,338.5,148.6,247.0,35.300000000000004,192.3,orientation,repetition,68.0,148.0,experiment_1,012,mixed,1.0,38.0,120.31557812055296,2.5747705
40,225,135,315,45,229.8,341.0,52.6,113.4,174.70000000000002,322.20000000000005,279.6,75.4,orientation,repetition,229.0,174.0,experiment_1,012,mixed,1.0,39.0,183.4016906935337,1.8400227
41,225,135,45,315,111.5,162.70000000000002,62.6,351.90000000000003,353.70000000000005,292.90000000000003,98.10000000000001,47.400000000000006,orientation,repetition,111.0,353.0,experiment_1,012,mixed,1.0,40.0,347.4711922908485,2.366552
42,135,315,45,225,182.4,69.3,236.5,357.40000000000003,70.3,16.0,306.5,261.90000000000003,orientation,repetition,182.0,70.0,experiment_1,012,mixed,1.0,41.0,77.60459316624154,2.9037669
43,225,135,45,315,82.60000000000001,158.0,201.4,38.0,123.10000000000001,336.3,283.40000000000003,227.4,colour,switch,82.0,123.0,experiment_1,012,mixed,1.0,42.0,39.0,1.3956553
44,45,225,315,135,114.2,59.6,196.10000000000002,271.7,178.5,339.5,230.9,58.1,colour,repetition,114.0,178.0,experiment_1,012,mixed,1.0,43.0,78.0,1.8762479
45,315,135,225,45,68.60000000000001,289.8,17.1,133.70000000000002,247.0,182.3,36.1,135.6,colour,repetition,68.0,246.0,experiment_1,012,mixed,1.0,44.0,58.0,2.6016378
46,45,135,225,315,148.4,216.60000000000002,267.40000000000003,97.0,291.8,133.1,55.400000000000006,223.10000000000002,orientation,switch,148.0,291.0,experiment_1,012,mixed,1.0,45.0,239.93141717813754,4.249451
47,315,45,135,225,31.3,344.3,185.4,82.4,42.6,85.10000000000001,154.70000000000002,203.60000000000002,colour,switch,31.0,42.0,experiment_1,012,mixed,1.0,46.0,38.0,1.8071989
48,225,45,135,315,182.8,131.8,24.8,317.40000000000003,273.6,138.6,322.3,5.6000000000000005,orientation,switch,182.0,273.0,experiment_1,012,mixed,1.0,47.0,284.0795836862209,2.1431706
49,225,45,315,135,233.5,77.10000000000001,331.1,288.40000000000003,291.5,23.1,239.0,334.8,colour,switch,233.0,291.0,experiment_1,012,mixed,1.0,48.0,242.0,1.4256825
50,315,45,225,135,193.60000000000002,61.1,322.8,127.60000000000001,52.7,217.8,268.7,158.8,orientation,switch,193.0,52.0,experiment_1,012,mixed,1.0,49.0,97.45812759282317,1.9930098
51,315,225,45,135,151.20000000000002,82.80000000000001,301.5,231.60000000000002,56.400000000000006,280.7,209.9,154.3,orientation,repetition,151.0,56.0,experiment_1,012,mixed,1.0,50.0,80.45086607126407,1.9878536
52,315,225,135,45,166.10000000000002,32.6,252.20000000000002,317.90000000000003,233.8,140.70000000000002,8.3,192.3,orientation,repetition,166.0,233.0,experiment_1,012,mixed,1.0,51.0,287.0674048184644,2.4604692
53,135,315,45,225,304.6,124.80000000000001,261.7,206.3,92.10000000000001,238.4,330.90000000000003,146.8,colour,switch,304.0,92.0,experiment_1,012,mixed,1.0,52.0,307.0,1.5703032
54,225,135,315,45,243.4,153.5,64.8,356.20000000000005,281.3,207.9,137.70000000000002,322.3,orientation,switch,243.0,281.0,experiment_1,012,mixed,1.0,53.0,234.21892613810743,2.243553
55,135,315,45,225,216.10000000000002,287.7,15.9,101.4,167.0,333.5,26.3,266.2,colour,switch,216.0,166.0,experiment_1,012,mixed,1.0,54.0,224.0,1.7541683
56,135,225,45,315,299.2,99.60000000000001,22.900000000000002,156.3,209.8,100.2,154.10000000000002,261.2,colour,repetition,299.0,209.0,experiment_1,012,mixed,1.0,55.0,309.0,1.5800186
57,45,135,225,315,221.0,87.4,131.4,275.8,119.7,42.1,216.60000000000002,295.90000000000003,orientation,switch,220.0,119.0,experiment_1,012,mixed,1.0,56.0,62.447188423282206,2.1972725
58,315,135,45,225,228.0,77.5,26.900000000000002,151.5,244.8,25.400000000000002,77.4,198.20000000000002,colour,switch,228.0,244.0,experiment_1,012,mixed,1.0,57.0,239.0,1.7418414
59,45,315,135,225,324.8,175.5,17.0,74.2,302.7,165.5,88.10000000000001,349.70000000000005,orientation,switch,324.0,302.0,experiment_1,012,mixed,1.0,58.0,307.0025265281962,2.2484438
60,135,315,45,225,206.60000000000002,38.1,140.4,267.7,144.9,292.7,62.400000000000006,5.4,orientation,repetition,206.0,144.0,experiment_1,012,mixed,1.0,59.0,125.24937539705775,2.3423345
61,135,225,45,315,145.4,349.70000000000005,55.5,239.5,165.20000000000002,253.20000000000002,347.90000000000003,117.80000000000001,colour,switch,145.0,165.0,experiment_1,012,mixed,1.0,60.0,180.0,1.9688342
62,225,135,45,315,145.70000000000002,346.40000000000003,58.300000000000004,262.8,234.70000000000002,332.40000000000003,178.20000000000002,15.0,colour,repetition,145.0,234.0,experiment_1,012,mixed,1.0,61.0,181.0,1.5861562
63,225,315,45,135,226.5,62.1,123.2,273.5,64.5,345.70000000000005,150.20000000000002,299.40000000000003,orientation,switch,226.0,64.0,experiment_1,012,mixed,1.0,62.0,60.32996618433945,2.1706865
64,315,135,225,45,12.5,309.40000000000003,170.10000000000002,225.60000000000002,177.0,237.8,26.1,76.5,orientation,repetition,12.0,176.0,experiment_1,012,mixed,1.0,63.0,142.76025845702293,1.6919273
65,225,135,45,315,15.600000000000001,158.3,265.5,216.0,56.900000000000006,235.5,165.5,293.2,orientation,repetition,15.0,56.0,experiment_1,012,mixed,1.0,64.0,57.3277707113169,2.3605947
66,315,225,135,45,2.9000000000000004,288.2,71.0,156.4,61.7,301.90000000000003,216.60000000000002,171.20000000000002,orientation,repetition,2.0,61.0,experiment_1,012,mixed,1.0,65.0,61.89717643822457,1.8425494
67,135,315,225,45,148.8,293.40000000000003,355.40000000000003,64.8,234.8,63.0,19.5,160.5,colour,switch,148.0,234.0,experiment_1,012,mixed,1.0,66.0,170.0,1.3928936
68,315,225,135,45,320.1,36.5,133.20000000000002,89.80000000000001,164.4,209.10000000000002,15.100000000000001,101.9,colour,repetition,320.0,164.0,experiment_1,012,mixed,1.0,67.0,313.0,1.8497401
69,45,315,135,225,271.3,205.5,318.0,154.5,249.20000000000002,36.2,306.8,205.8,colour,repetition,271.0,249.0,experiment_1,012,mixed,1.0,68.0,339.0,1.7914
70,315,135,45,225,213.8,64.0,111.80000000000001,257.90000000000003,75.60000000000001,180.3,133.70000000000002,266.5,orientation,switch,213.0,75.0,experiment_1,012,mixed,1.0,69.0,104.72297506175022,1.8400259
71,315,225,45,135,175.70000000000002,104.60000000000001,346.90000000000003,39.1,26.900000000000002,309.20000000000005,191.0,264.90000000000003,colour,switch,175.0,26.0,experiment_1,012,mixed,1.0,70.0,179.0,4.1185226
72,315,135,225,45,150.4,352.0,66.10000000000001,293.0,151.1,306.0,86.10000000000001,261.3,colour,repetition,150.0,151.0,experiment_1,012,mixed,1.0,71.0,171.0,1.761726
73,315,45,135,225,177.8,245.20000000000002,358.1,122.7,120.30000000000001,263.3,351.5,201.9,colour,repetition,177.0,120.0,experiment_1,012,mixed,1.0,72.0,184.0,1.7716684
74,225,315,135,45,9.4,265.7,319.1,121.60000000000001,294.5,343.0,67.8,200.0,orientation,switch,9.0,294.0,experiment_1,012,mixed,1.0,73.0,222.62503848423862,1.6209458
75,225,45,315,135,206.8,127.10000000000001,63.900000000000006,249.9,354.20000000000005,302.6,200.5,244.60000000000002,colour,switch,206.0,354.0,experiment_1,012,mixed,1.0,74.0,211.0,3.556131
76,315,225,135,45,305.8,12.8,59.0,169.60000000000002,77.30000000000001,29.400000000000002,209.9,333.3,orientation,switch,305.0,77.0,experiment_1,012,mixed,1.0,75.0,321.1080383181826,2.3579867
77,45,135,225,315,70.5,322.6,214.10000000000002,120.4,257.8,38.2,85.30000000000001,171.3,colour,switch,70.0,257.0,experiment_1,012,mixed,1.0,76.0,26.0,1.6238447
78,135,315,45,225,102.4,280.6,224.9,40.7,341.5,246.8,189.5,45.900000000000006,colour,repetition,102.0,341.0,experiment_1,012,mixed,1.0,77.0,68.0,1.9671696
79,45,315,225,135,228.60000000000002,109.4,294.90000000000003,48.800000000000004,349.6,201.10000000000002,55.300000000000004,145.5,colour,repetition,228.0,349.0,experiment_1,012,mixed,1.0,78.0,244.0,2.5363753
80,315,135,225,45,185.9,344.20000000000005,67.5,234.20000000000002,181.10000000000002,341.5,112.7,43.5,colour,repetition,185.0,181.0,experiment_1,012,mixed,1.0,79.0,192.0,2.2509687
81,225,45,315,135,199.0,279.0,127.5,31.8,331.70000000000005,170.3,125.2,241.5,colour,repetition,198.0,331.0,experiment_1,012,mixed,1.0,80.0,198.0,1.344824
82,45,225,315,135,240.0,104.0,324.5,171.60000000000002,146.6,61.2,335.0,209.5,colour,repetition,240.0,146.0,experiment_1,012,mixed,1.0,81.0,244.0,1.6354315
83,225,135,315,45,44.300000000000004,288.5,242.0,95.80000000000001,221.20000000000002,59.2,174.8,12.9,colour,repetition,44.0,221.0,experiment_1,012,mixed,1.0,82.0,32.0,2.4580302
84,315,135,225,45,239.5,63.0,337.40000000000003,131.5,293.6,225.9,4.3,173.20000000000002,orientation,switch,239.0,293.0,experiment_1,012,mixed,1.0,83.0,312.5371833240832,2.567893
85,315,45,135,225,112.9,45.900000000000006,236.70000000000002,334.3,99.7,356.3,289.7,221.10000000000002,orientation,repetition,112.0,99.0,experiment_1,012,mixed,1.0,84.0,103.12762197359083,1.7451663
86,315,45,225,135,279.90000000000003,9.0,326.90000000000003,101.0,325.1,83.10000000000001,269.2,161.60000000000002,orientation,repetition,279.0,325.0,experiment_1,012,mixed,1.0,85.0,305.4170552764674,2.2357228
87,135,45,225,315,101.10000000000001,239.70000000000002,281.2,60.1,76.5,2.6,224.10000000000002,286.40000000000003,colour,switch,101.0,76.0,experiment_1,012,mixed,1.0,86.0,19.0,2.0744958
88,315,225,45,135,246.60000000000002,206.20000000000002,19.0,141.0,55.0,149.70000000000002,346.20000000000005,274.2,colour,repetition,246.0,54.0,experiment_1,012,mixed,1.0,87.0,239.0,1.543516
89,135,225,45,315,35.2,180.8,331.6,126.0,246.9,296.2,116.0,173.0,orientation,switch,35.0,246.0,experiment_1,012,mixed,1.0,88.0,295.026340432592,1.8261399
90,45,135,315,225,353.1,286.6,47.6,230.8,171.4,71.60000000000001,122.80000000000001,246.8,orientation,repetition,353.0,171.0,experiment_1,012,mixed,1.0,89.0,140.76263288659845,2.1054385
91,315,135,225,45,260.6,219.4,10.200000000000001,82.4,52.0,306.2,197.10000000000002,105.9,orientation,repetition,260.0,52.0,experiment_1,012,mixed,1.0,90.0,53.92640792673934,2.0932057
92,45,135,315,225,85.10000000000001,28.3,204.4,126.60000000000001,332.5,159.9,238.4,108.0,colour,switch,85.0,332.0,experiment_1,012,mixed,1.0,91.0,221.0,1.8577288
93,315,45,225,135,215.20000000000002,271.2,342.3,154.60000000000002,60.0,16.8,267.7,143.3,orientation,switch,215.0,60.0,experiment_1,012,mixed,1.0,92.0,118.41895215226042,1.8719053
94,315,225,45,135,163.70000000000002,223.0,83.60000000000001,338.90000000000003,341.8,226.0,143.6,27.400000000000002,colour,switch,163.0,341.0,experiment_1,012,mixed,1.0,93.0,190.0,1.8769256
95,225,315,135,45,9.700000000000001,218.0,71.9,157.70000000000002,66.7,329.5,207.8,150.20000000000002,colour,repetition,9.0,66.0,experiment_1,012,mixed,1.0,94.0,357.0,1.7383989
96,45,135,225,315,178.20000000000002,86.4,321.3,20.700000000000003,66.9,19.200000000000003,127.2,255.4,colour,repetition,178.0,66.0,experiment_1,012,mixed,1.0,95.0,187.0,2.4687357
97,225,45,315,135,158.60000000000002,14.3,322.8,112.2,239.20000000000002,31.1,348.40000000000003,163.70000000000002,orientation,switch,158.0,239.0,experiment_1,012,mixed,1.0,96.0,229.8861690798075,1.5859383
98,45,225,135,315,278.2,323.70000000000005,142.6,201.20000000000002,241.8,168.9,354.70000000000005,285.2,colour,switch,278.0,241.0,experiment_1,012,mixed,1.0,97.0,290.0,1.7944978
99,225,135,45,315,229.10000000000002,147.8,58.7,287.2,50.6,120.5,313.20000000000005,258.3,colour,repetition,229.0,50.0,experiment_1,012,mixed,1.0,98.0,231.0,1.5871332
